alcohol,density,chlorides,total sulfur dioxide,volatile acidity,residual sugar,quality,tipo_calidad
8.8,1.001,0.045,170.0,0.27,20.7,6,Mediana
9.5,0.994,0.049,132.0,0.3,1.6,6,Mediana
10.1,0.9951,0.05,97.0,0.28,6.9,6,Mediana
9.9,0.9956,0.058,186.0,0.23,8.5,6,Mediana
9.9,0.9956,0.058,186.0,0.23,8.5,6,Mediana
10.1,0.9951,0.05,97.0,0.28,6.9,6,Mediana
9.6,0.9949,0.045,136.0,0.32,7.0,6,Mediana
8.8,1.001,0.045,170.0,0.27,20.7,6,Mediana
9.5,0.994,0.049,132.0,0.3,1.6,6,Mediana
11.0,0.9938,0.044,129.0,0.22,1.5,6,Mediana
12.0,0.9908,0.033,63.0,0.27,1.45,5,Mediana
9.7,0.9947,0.035,109.0,0.23,4.2,5,Mediana
10.8,0.992,0.04,75.0,0.18,1.2,5,Mediana
12.4,0.9912,0.044,143.0,0.16,1.5,7,Buena
11.4,0.9914,0.032,112.0,0.17,1.5,7,Buena
11.3,0.9917,0.033,171.0,0.34,1.1,6,Mediana
9.5,0.9955,0.044,133.0,0.31,7.5,5,Mediana
11.0,0.9912,0.038,102.0,0.31,2.9,7,Buena
10.0,0.9951,0.052,142.0,0.27,1.3,6,Mediana
10.4,0.9955,0.046,245.0,0.25,9.0,6,Mediana
10.0,0.993,0.052,146.0,0.24,1.0,6,Mediana
10.5,0.9961,0.051,141.0,0.28,8.7,6,Mediana
11.6,0.9914,0.047,132.0,0.27,1.1,6,Mediana
12.3,0.9906,0.033,114.0,0.32,2.0,7,Buena
10.0,0.9974,0.044,142.0,0.24,10.4,6,Mediana
10.2,0.9934,0.042,47.0,0.14,1.1,6,Mediana
10.8,0.992,0.05,100.0,0.25,2.05,6,Mediana
9.0,0.9939,0.045,117.0,0.12,1.5,6,Mediana
10.2,0.9962,0.044,179.0,0.27,14.95,5,Mediana
10.0,0.9934,0.051,149.0,0.39,5.4,5,Mediana
11.2,0.9906,0.053,138.0,0.33,1.2,6,Mediana
8.6,0.9999,0.057,149.0,0.24,17.95,5,Mediana
8.6,0.9999,0.057,149.0,0.24,17.95,5,Mediana
9.8,0.9954,0.069,160.0,0.31,7.4,6,Mediana
9.5,0.9934,0.057,152.0,0.24,1.4,6,Mediana
9.5,0.9934,0.06,154.0,0.23,1.4,6,Mediana
10.0,0.9931,0.058,167.0,0.18,1.4,7,Buena
9.8,0.994,0.063,206.0,0.45,4.4,4,Baja
9.8,0.9939,0.066,207.0,0.46,4.4,5,Mediana
9.8,0.9954,0.069,160.0,0.31,7.4,6,Mediana
9.8,0.995,0.067,150.0,0.19,5.0,5,Mediana
11.7,0.9917,0.062,173.0,0.19,1.6,6,Mediana
11.0,0.9914,0.068,124.0,0.25,1.1,7,Buena
10.9,0.991,0.057,82.0,0.16,1.1,7,Buena
10.9,0.9911,0.045,108.0,0.18,1.0,6,Mediana
11.0,0.9908,0.039,191.0,0.25,1.3,6,Mediana
9.6,0.9962,0.043,213.0,0.21,11.9,6,Mediana
8.9,0.9972,0.048,147.0,0.19,12.4,6,Mediana
10.2,0.9931,0.044,78.0,0.38,4.6,6,Mediana
9.9,0.9926,0.038,111.0,0.2,1.2,6,Mediana
8.9,0.9972,0.048,147.0,0.19,12.4,6,Mediana
10.2,0.9931,0.044,78.0,0.38,4.6,6,Mediana
10.3,0.9927,0.038,122.0,0.24,1.4,6,Mediana
12.6,0.9903,0.04,124.0,0.26,6.4,7,Buena
9.5,0.9962,0.05,105.0,0.24,10.1,5,Mediana
9.0,0.9956,0.056,244.0,0.27,7.8,6,Mediana
9.5,0.9958,0.061,238.5,0.3,4.6,5,Mediana
9.1,0.9941,0.054,72.0,0.23,1.0,6,Mediana
9.5,0.9962,0.05,105.0,0.24,10.1,5,Mediana
12.7,0.9898,0.043,87.0,0.18,1.4,7,Buena
12.0,0.9912,0.042,69.0,0.32,1.3,7,Buena
9.3,0.9961,0.064,103.0,0.18,8.8,5,Mediana
9.2,0.9985,0.05,166.0,0.2,16.0,6,Mediana
10.0,0.9946,0.063,164.0,0.34,6.1,5,Mediana
9.5,0.9966,0.047,207.0,0.22,8.2,6,Mediana
9.7,0.9972,0.05,202.0,0.25,13.3,6,Mediana
9.0,0.9957,0.049,243.0,0.27,7.5,5,Mediana
12.6,0.99,0.035,136.0,0.24,1.7,7,Buena
12.6,0.9899,0.034,136.0,0.21,1.8,7,Buena
11.5,0.9916,0.04,148.0,0.17,1.7,7,Buena
9.2,0.9969,0.044,240.0,0.26,12.4,6,Mediana
11.4,0.9913,0.034,80.0,0.265,1.2,7,Buena
9.1,0.9975,0.06,192.0,0.25,13.5,5,Mediana
9.4,0.9962,0.054,162.0,0.12,9.6,5,Mediana
9.4,0.997,0.05,164.0,0.21,12.1,5,Mediana
9.0,1.0,0.059,170.0,0.305,18.9,5,Mediana
9.1,0.9975,0.06,192.0,0.25,13.5,5,Mediana
9.2,0.9974,0.051,109.0,0.13,14.4,6,Mediana
9.4,0.9962,0.054,162.0,0.12,9.6,5,Mediana
9.1,0.999,0.04,171.0,0.23,16.5,6,Mediana
9.1,0.999,0.04,171.0,0.23,16.5,6,Mediana
10.3,0.9927,0.051,187.0,0.33,1.3,5,Mediana
8.9,1.0,0.052,255.0,0.27,18.75,5,Mediana
9.2,0.9982,0.056,195.0,0.31,13.3,5,Mediana
9.1,0.9968,0.049,150.0,0.41,9.2,5,Mediana
9.1,0.9968,0.049,150.0,0.41,9.2,5,Mediana
11.3,0.9914,0.041,143.0,0.31,3.3,6,Mediana
11.8,0.9911,0.035,85.0,0.14,1.7,6,Mediana
9.2,0.9982,0.056,195.0,0.31,13.3,5,Mediana
9.2,0.9982,0.06,196.0,0.32,13.3,5,Mediana
8.8,0.9984,0.054,138.0,0.24,12.2,5,Mediana
9.7,0.9952,0.059,131.0,0.16,6.85,5,Mediana
9.1,0.9952,0.058,146.0,0.19,5.0,6,Mediana
11.0,0.9912,0.026,143.0,0.19,1.1,6,Mediana
10.5,0.994,0.033,126.0,0.39,7.0,5,Mediana
9.7,0.9958,0.038,203.0,0.24,7.6,7,Buena
10.9,0.9924,0.044,179.0,0.3,2.8,7,Buena
10.9,0.9924,0.046,184.0,0.3,2.7,6,Mediana
10.6,0.994,0.02,57.0,0.26,10.4,5,Mediana
9.7,0.9958,0.038,203.0,0.24,7.6,7,Buena
9.0,0.9979,0.038,241.0,0.425,13.1,5,Mediana
9.2,0.9982,0.035,188.0,0.24,15.8,5,Mediana
