alcohol,sulphates,volatile acidity,density,citric acid,total sulfur dioxide,quality,tipo_calidad
9.4,0.56,0.7,0.9978,0.0,34.0,5,Mediana
9.8,0.68,0.88,0.9968,0.0,67.0,5,Mediana
9.8,0.65,0.76,0.997,0.04,54.0,5,Mediana
9.8,0.58,0.28,0.998,0.56,60.0,6,Buena
9.4,0.56,0.7,0.9978,0.0,34.0,5,Mediana
9.4,0.56,0.66,0.9978,0.0,40.0,5,Mediana
9.4,0.46,0.6,0.9964,0.06,59.0,5,Mediana
10.0,0.47,0.65,0.9946,0.0,21.0,7,Buena
9.5,0.57,0.58,0.9968,0.02,18.0,7,Buena
9.2,0.54,0.58,0.9959,0.08,65.0,5,Mediana
9.9,0.52,0.615,0.9943,0.0,59.0,5,Mediana
10.5,0.75,0.28,0.9969,0.56,103.0,7,Buena
9.4,0.53,0.22,0.9968,0.48,60.0,6,Buena
9.7,0.65,0.39,0.9982,0.31,71.0,5,Mediana
9.5,0.91,0.43,0.9966,0.21,37.0,5,Mediana
9.4,0.53,0.49,0.9968,0.11,67.0,5,Mediana
9.7,0.63,0.4,0.9968,0.14,40.0,6,Buena
9.3,0.56,0.39,0.9955,0.16,23.0,5,Mediana
9.5,0.59,0.41,0.9962,0.24,11.0,5,Mediana
9.5,0.91,0.43,0.9966,0.21,37.0,5,Mediana
9.4,0.55,0.71,0.9972,0.0,35.0,5,Mediana
9.8,0.59,0.645,0.9964,0.0,16.0,6,Buena
10.1,0.54,0.675,0.9958,0.07,82.0,5,Mediana
10.6,0.57,0.685,0.9966,0.0,37.0,6,Buena
9.8,0.66,0.655,0.9966,0.12,113.0,5,Mediana
9.2,0.55,0.32,0.9957,0.25,50.0,5,Mediana
10.8,0.6,0.6,0.9975,0.14,15.0,6,Buena
9.7,0.73,0.38,0.9968,0.28,30.0,7,Buena
9.3,0.51,0.61,0.9976,0.3,46.0,4,Baja
9.5,0.52,0.67,0.9962,0.02,11.0,5,Mediana
9.2,0.73,0.935,0.997,0.43,114.0,5,Mediana
9.5,0.58,0.29,0.9969,0.52,37.0,5,Mediana
9.2,0.56,0.4,0.9958,0.23,12.0,5,Mediana
9.2,0.58,0.31,0.9954,0.37,96.0,5,Mediana
9.2,0.74,0.66,0.9971,0.26,23.0,5,Mediana
9.4,0.63,0.52,0.9956,0.04,15.0,6,Buena
9.4,0.64,0.5,0.9955,0.04,14.0,6,Buena
9.4,0.56,0.38,0.997,0.36,119.0,5,Mediana
10.2,0.63,0.51,0.9955,0.15,73.0,6,Buena
9.6,0.63,0.42,0.9971,0.57,10.0,5,Mediana
10.0,0.59,0.59,0.9975,0.18,54.0,5,Mediana
9.4,0.54,0.39,0.9962,0.31,46.0,6,Buena
9.2,0.64,0.4,0.998,0.4,52.0,5,Mediana
9.3,0.71,0.69,0.9968,0.49,112.0,5,Mediana
9.5,0.62,0.52,0.9968,0.16,35.0,7,Buena
9.8,0.57,0.735,0.9966,0.05,54.0,5,Mediana
9.6,0.58,0.52,0.9968,0.11,39.0,5,Mediana
10.7,0.58,0.705,0.9962,0.07,15.0,5,Mediana
10.7,0.79,0.32,0.9969,0.57,65.0,5,Mediana
10.5,0.95,0.705,0.9962,0.05,19.0,6,Buena
9.5,0.54,0.63,0.9967,0.08,27.0,6,Buena
9.5,0.48,0.67,0.9962,0.23,96.0,5,Mediana
9.5,0.48,0.69,0.9961,0.22,94.0,5,Mediana
9.2,0.53,0.675,0.9976,0.26,43.0,4,Baja
9.6,0.82,0.32,0.9984,0.54,83.0,5,Mediana
10.5,0.66,0.41,0.9986,0.64,42.0,5,Mediana
10.5,0.66,0.41,0.9986,0.64,42.0,5,Mediana
10.7,0.55,0.785,0.9966,0.0,30.0,6,Buena
10.1,0.52,0.75,0.9958,0.12,80.0,5,Mediana
9.2,0.56,0.45,0.9958,0.2,15.0,5,Mediana
9.1,0.57,0.5,0.997,0.47,73.0,5,Mediana
10.3,0.78,0.3,0.9959,0.48,61.0,6,Buena
10.1,0.59,0.55,0.9961,0.15,40.0,5,Mediana
9.6,0.64,0.49,0.9966,0.26,31.0,5,Mediana
9.0,0.53,0.62,0.9978,0.08,24.0,5,Mediana
9.6,0.64,0.49,0.9966,0.26,31.0,5,Mediana
10.7,0.56,0.775,0.9965,0.0,23.0,5,Mediana
9.2,0.63,0.5,0.9963,0.25,22.0,5,Mediana
9.8,0.56,0.9,0.9967,0.06,10.0,5,Mediana
9.0,0.59,0.545,0.9972,0.18,35.0,6,Buena
10.2,0.61,0.61,0.9972,0.3,50.0,6,Buena
10.4,0.56,0.5,0.9959,0.3,22.0,6,Buena
9.0,0.59,0.545,0.9972,0.18,35.0,6,Buena
9.2,0.51,0.575,0.9967,0.22,65.0,5,Mediana
9.4,0.48,0.49,0.996,0.24,36.0,5,Mediana
9.2,0.51,0.575,0.9967,0.22,65.0,5,Mediana
9.3,0.79,0.63,0.9969,0.31,64.0,5,Mediana
9.6,0.8,0.33,0.9976,0.53,80.0,6,Buena
9.5,0.93,0.56,0.9964,0.19,47.0,5,Mediana
9.8,0.66,0.62,0.9964,0.09,108.0,5,Mediana
9.8,0.66,0.6,0.9964,0.1,111.0,5,Mediana
9.7,0.67,0.31,0.9988,0.44,46.0,6,Buena
9.5,0.93,0.56,0.9964,0.19,47.0,5,Mediana
10.5,0.63,0.4,0.9966,0.31,62.0,6,Buena
10.0,0.61,0.54,0.9978,0.28,40.0,6,Buena
9.4,0.5,0.56,0.997,0.12,28.0,6,Buena
10.9,0.6,0.55,0.9962,0.04,56.0,6,Buena
9.2,0.54,0.69,0.9959,0.08,89.0,6,Buena
10.9,0.6,0.55,0.9962,0.04,56.0,6,Buena
9.2,0.52,0.695,0.998,0.0,13.0,5,Mediana
9.5,0.53,0.71,0.9976,0.0,34.0,5,Mediana
9.5,0.48,0.5,0.996,0.17,102.0,5,Mediana
10.5,0.92,0.59,0.9962,0.16,16.0,7,Buena
9.4,0.57,0.38,0.9955,0.15,19.0,5,Mediana
13.0,0.63,0.5,0.9937,0.09,99.0,5,Mediana
13.0,0.63,0.5,0.9937,0.09,99.0,5,Mediana
9.8,0.58,0.5,0.9952,0.01,26.0,6,Buena
9.6,0.82,0.745,0.9965,0.11,63.0,5,Mediana
9.5,0.77,0.715,0.9968,0.15,52.0,5,Mediana
9.2,0.64,0.415,0.9972,0.36,45.0,5,Mediana
9.5,0.54,0.56,0.9962,0.19,105.0,5,Mediana
9.5,0.54,0.56,0.9962,0.19,108.0,5,Mediana
9.6,0.82,0.745,0.9965,0.11,63.0,5,Mediana
9.5,0.77,0.715,0.9968,0.15,52.0,5,Mediana
9.4,0.58,0.39,0.9954,0.08,20.0,5,Mediana
10.0,0.52,0.68,0.9944,0.02,94.0,5,Mediana
10.2,0.58,0.49,0.9959,0.1,30.0,6,Buena
10.5,0.61,0.4,0.9975,0.44,43.0,6,Buena
10.3,0.53,0.33,0.9958,0.47,11.0,6,Buena
10.1,0.54,0.6,0.995,0.03,99.0,5,Mediana
10.1,0.54,0.6,0.995,0.03,99.0,5,Mediana
9.3,0.5,0.68,0.9969,0.0,22.0,5,Mediana
9.3,0.57,0.6,0.9968,0.18,86.0,6,Buena
9.6,0.56,0.95,0.9959,0.03,20.0,5,Mediana
10.0,0.56,0.53,0.9964,0.04,31.0,6,Buena
9.5,0.62,0.63,0.9961,0.48,96.0,5,Mediana
10.2,0.52,0.64,0.9956,0.1,101.0,5,Mediana
9.0,0.48,0.55,0.9956,0.03,42.0,4,Baja
10.4,0.55,0.63,0.9953,0.07,44.0,6,Buena
9.1,0.33,0.885,0.9972,0.03,8.0,4,Baja
9.2,0.61,0.42,0.9972,0.17,18.0,6,Buena
9.2,0.61,0.42,0.9972,0.17,18.0,6,Buena
11.5,0.57,0.62,0.9961,0.05,42.0,6,Buena
9.5,0.47,0.38,0.9961,0.21,35.0,5,Mediana
9.5,0.78,0.5,0.9958,0.04,49.0,5,Mediana
9.5,0.47,0.38,0.9961,0.21,35.0,5,Mediana
10.5,0.61,0.52,0.9972,0.42,38.0,6,Buena
9.6,0.56,0.805,0.9969,0.0,20.0,5,Mediana
9.5,0.59,0.61,0.9969,0.14,42.0,5,Mediana
9.5,0.59,0.61,0.9969,0.14,42.0,5,Mediana
9.3,0.52,0.73,0.9972,0.02,42.0,5,Mediana
9.3,0.58,0.61,0.9971,0.2,65.0,5,Mediana
9.3,0.58,0.62,0.997,0.21,62.0,6,Buena
9.7,0.53,0.31,0.9971,0.57,85.0,5,Mediana
9.2,0.55,0.39,0.9972,0.48,67.0,5,Mediana
9.7,0.49,0.705,0.9976,0.1,26.0,5,Mediana
9.8,0.62,0.37,0.9974,0.25,49.0,6,Buena
9.7,0.55,0.55,0.9964,0.21,28.0,5,Mediana
9.7,0.55,0.55,0.9964,0.21,28.0,5,Mediana
9.4,0.54,0.59,0.9968,0.33,120.0,5,Mediana
10.2,0.59,0.58,0.9968,0.3,55.0,5,Mediana
10.1,0.97,0.3,0.9981,0.6,27.0,6,Buena
13.0,0.85,0.835,0.9924,0.08,93.0,7,Buena
10.3,0.82,0.32,0.99695,0.47,24.0,7,Buena
9.5,0.79,0.5,0.99545,0.11,49.0,5,Mediana
9.2,0.55,0.42,0.9961,0.35,39.0,5,Mediana
9.2,0.56,0.43,0.99615,0.36,37.0,6,Buena
9.3,0.53,0.57,0.99625,0.31,120.0,5,Mediana
9.4,0.67,0.44,0.9966,0.28,95.0,5,Mediana
10.5,0.88,0.3,0.998,0.58,19.0,7,Buena
10.0,0.56,0.725,0.99685,0.24,62.0,6,Buena
10.2,0.67,0.44,0.998,0.64,15.0,6,Buena
10.1,0.43,0.57,0.9959,0.26,65.0,5,Mediana
9.8,0.71,0.735,0.9974,0.08,41.0,6,Buena
11.0,0.57,0.625,0.9962,0.16,49.0,5,Mediana
9.1,0.55,0.725,0.9967,0.22,41.0,5,Mediana
9.7,0.54,0.49,0.9957,0.19,44.0,5,Mediana
9.4,0.59,0.34,0.9964,0.37,58.0,6,Buena
9.4,0.57,0.53,0.9957,0.26,72.0,5,Mediana
9.5,0.6,0.61,0.99525,0.04,10.0,5,Mediana
10.0,0.6,0.645,0.99815,0.25,28.0,6,Buena
10.4,0.57,0.635,0.99745,0.36,55.0,4,Baja
10.5,0.58,0.43,0.99615,0.25,63.0,6,Buena
9.8,0.63,0.82,0.9984,0.14,23.0,5,Mediana
10.5,0.58,0.43,0.99615,0.25,63.0,6,Buena
11.0,0.5,0.52,0.99685,0.25,37.0,5,Mediana
12.2,0.62,0.48,0.9927,0.04,106.0,7,Buena
9.9,0.52,0.38,0.99625,0.06,49.0,6,Buena
9.6,0.7,0.37,0.998,0.2,58.0,6,Buena
11.0,0.5,0.52,0.99685,0.25,37.0,5,Mediana
9.0,0.55,1.0,0.99685,0.09,37.0,6,Buena
9.0,0.58,0.63,0.99675,0.0,38.0,6,Buena
9.0,0.58,0.63,0.99675,0.0,38.0,6,Buena
9.2,0.58,0.645,0.99675,0.0,39.0,6,Buena
9.0,0.58,0.63,0.99675,0.0,38.0,6,Buena
